Name,BSE Code,NSE Code,Industry
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services
Enkei Wheels,533477,,Auto Ancillaries
Entero Healthcar,544122,ENTERO,Trading
Epack Durable,544095,EPACK,Air-conditioners
Epigral,543332,EPIGRAL,Chlor Alkali / Soda Ash
EPL Ltd,500135,EPL,Packaging
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations
Esab India,500133,ESABINDIA,Electrodes - Welding Equipment
Escorts Kubota,500495,ESCORTS,Automobiles - Tractors
Essen Speciality,,ESFL,Plastics Products
Ethos Ltd,543532,ETHOSLTD,Trading
Eureka Forbes,543482,EUREKAFORB,Domestic Appliances
Eveready Inds.,531508,EVEREADY,Dry Cells
Everest Inds.,508906,EVERESTIND,Cement Products
Everest Kanto,532684,EKC,Packaging
Excel Industries,500650,EXCELINDUS,Pesticides / Agrochemicals - Indian
Exicom Tele-Sys.,544133,EXICOM,Electric Equipment
Exide Inds.,500086,EXIDEIND,Auto Ancillaries
Expleo Solutions,533121,EXPLEOSOL,Computers - Software - Medium / Small
F A C T,590024,FACT,Fertilizers
Fairchem Organic,543252,FAIRCHEMOR,Chemicals
Faze Three,530079,FAZE3Q,Textiles - Processing
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln
Fedders Holding,511628,,Finance & Investments
Federal-Mogul Go,505744,FMGOETZE,Auto Ancillaries
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs
Fiem Industries,532768,FIEMIND,Auto Ancillaries
Filatex India,526227,FILATEX,Textiles - Manmade
Fine Organic,541557,FINEORG,Chemicals
Fineotex Chem,533333,FCL,Chemicals
Finkurve Fin.,508954,,Finance & Investments
Finolex Cables,500144,FINCABLES,Cables - Power
Finolex Inds.,500940,FINPIPE,Plastics Products
Firstsour.Solu.,532809,FSL,Computers - Software - Medium / Small
Five-Star Bus.Fi,543663,FIVESTAR,Finance & Investments
Flair Writing,544030,FLAIR,Printing & Stationery
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs
Fortis Health.,532843,FORTIS,Healthcare
FSN E-Commerce,543384,NYKAA,Trading
G M Breweries,507488,GMBREW,Breweries & Distilleries
G M D C,532181,GMDCLTD,Mining / Minerals / Metals
G N F C,500670,GNFC,Chemicals
G R Infraproject,543317,GRINFRA,Construction
Gabriel India,505714,GABRIEL,Auto Ancillaries
GAIL (India),532155,GAIL,Miscellaneous
Gala Precis. Eng,544244,GALAPREC,Fasteners
Galaxy Surfact.,540935,GALAXYSURF,Chemicals
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small
Ganesh Benzopl.,500153,GANESHBE,Miscellaneous
Ganesh Housing,526367,GANESHHOUC,Construction
Ganesha Ecosphe.,514167,GANECOS,Textiles - Processing
Garden Reach Sh.,542011,GRSE,Miscellaneous
Garuda Cons,544271,GARUDA,Construction
Garware Hi Tech,500655,GRWRHITECH,Packaging
Garware Tech.,509557,GARFIBRES,Textiles - Products
Gateway Distri,543489,GATEWAY,Miscellaneous
GE Power,532309,GEPIL,Engineering - Turnkey Services
GE Shipping Co,500620,GESHIP,Shipping
GE Vernova T&D,522275,GVT&D,Electric Equipment
General Insuranc,540755,GICRE,Finance & Investments
Genesys Intl.,506109,GENESYS,Computers - Software - Medium / Small
Genus Power,530343,GENUSPOWER,Electronics - Components
Geojit Fin. Ser.,532285,GEOJITFSL,Finance & Investments
GFL,500173,GFLLIMITED,Finance & Investments
GHCL,500171,GHCL,Chemicals
GHCL Textiles,543918,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended
Gillette India,507815,GILLETTE,Personal Care - Multinational
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Formulations
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational
Glenmark Life,543322,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln
Global Health,543654,MEDANTA,Healthcare
GMM Pfaudler,505255,GMMPFAUDLR,Engineering
Go Digit General,544179,GODIGIT,Finance & Investments
Go Fashion (I),543401,GOCOLORS,Textiles - Products
GOCL Corpn.,506480,GOCLCORP,Chemicals
Godavari Bioref.,544279,GODAVARIB,Sugar
Godawari Power,532734,GPIL,Steel - Large
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian
Godrej Consumer,532424,GODREJCP,Personal Care - Indian
Gokul Agro,539725,GOKULAGRO,Solvent Extraction
Goldiam Intl.,526729,GOLDIAM,Diamond Cutting / Jewellery
Goodluck India,530655,GOODLUCK,Steel - Medium / Small
Goodyear India,500168,GOODYEAR,Tyres
Gopal Snacks,544140,GOPAL,Food - Processing - Indian
GPT Healthcare,544131,GPTHEALTH,Healthcare
GPT Infraproject,533761,GPTINFRA,Construction
Graphite India,509488,GRAPHITE,Electrodes - Graphites
Grasim Inds,500300,GRASIM,Textiles - Manmade
Grauer & Weil,505710,GRAUWEIL,Chemicals
Gravita India,533282,GRAVITA,Mining / Minerals / Metals
Greenlam Industr,538979,GREENLAM,Miscellaneous
Greenply Industr,526797,GREENPLY,Miscellaneous
Grindwell Norton,506076,GRINDWELL,Abrasives And Grinding Wheels
GRM Overseas,531449,GRMOVER,Food - Processing - Indian
GTPL Hathway,540602,GTPL,Entertainment / Electronic Media Software
Gufic BioScience,509079,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln
Guj Inds. Power,517300,GIPCL,Power Generation And Supply
Guj Pipavav Port,533248,GPPL,Miscellaneous
Guj. Ambuja Exp,524226,GAEL,Miscellaneous
Guj. Themis Bio.,506879,,Pharmaceuticals - Indian - Bulk Drugs
Guj.St.Petronet,532702,GSPL,Miscellaneous
Gujarat Alkalies,530001,GUJALKALI,Chlor Alkali / Soda Ash
Gujarat Fluoroch,542812,FLUOROCHEM,Chemicals
Gujarat Gas,539336,GUJGASLTD,Miscellaneous
Gulf Oil Lubric.,538567,GULFOILLUB,Chemicals
Gulshan Polyols,532457,GULPOLY,Miscellaneous
H P C L,500104,HINDPETRO,Refineries
H.G. Infra Engg.,541019,HGINFRA,Construction
Happiest Minds,543227,HAPPSTMNDS,Computers - Software - Medium / Small
Happy Forgings,544057,HAPPYFORGE,Castings & Forgings
Hardwyn India,541276,HARDWYN,Trading
Harsha Engg Intl,543600,HARSHA,Auto Ancillaries
Hathway Cable,533162,HATHWAY,Telecommunications - Service Provider
Hatsun Agro,531531,HATSUN,Food - Processing - Indian
Havells India,517354,HAVELLS,Electric Equipment
HBL Engineering,517271,HBLPOWER,Auto Ancillaries
HCL Technologies,532281,HCLTECH,Computers - Software - Large
HDFC AMC,541729,HDFCAMC,Finance & Investments
HDFC Life Insur.,540777,HDFCLIFE,Finance & Investments
Health.Global,539787,HCG,Healthcare
HEG,509631,HEG,Electrodes - Graphites
Heidelberg Cem.,500292,HEIDELBERG,Cement - North India
Heranba Inds,543266,HERANBA,Pesticides / Agrochemicals - Indian
Heritage Foods,519552,HERITGFOOD,Food - Processing - Indian
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds
Heubach Colorant,506390,HEUBACHIND,Dyes And Pigments
Hexa Tradex,534328,HEXATRADEX,Trading
Hikal,524735,HIKAL,Pharmaceuticals - Indian - Bulk Drugs
Himadri Special,500184,HSCL,Chemicals
Himatsing. Seide,514043,HIMATSEIDE,Textiles - Products
Hind Rectifiers,504036,HIRECT,Electronics - Components
Hind. Unilever,500696,HINDUNILVR,Personal Care - Multinational
Hind.Aeronautics,541154,HAL,Engineering
Hind.Oil Explor.,500186,HINDOILEXP,Oil Drilling / Allied Services
Hindalco Inds.,500440,HINDALCO,Aluminium and Aluminium Products
Hinduja Global,532859,HGS,Computers - Software - Medium / Small
Hindustan Copper,513599,HINDCOPPER,Mining / Minerals / Metals
Hindustan Foods,519126,HNDFDS,Diversified - Large
Hindustan Zinc,500188,HINDZINC,Mining / Minerals / Metals
Hindware Home In,542905,HINDWAREAP,Trading
Hitachi Energy,543187,POWERINDIA,Electric Equipment
HLE Glascoat,522215,HLEGLAS,Engineering
HLV,500193,HLVLTD,Hotels
HMA Agro Inds.,543929,HMAAGRO,Food - Processing - Indian
Honasa Consumer,544014,HONASA,Trading
Honda India,522064,HONDAPOWER,Electric Equipment
HPL Electric,540136,HPL,Electric Equipment
Hubtown,532799,HUBTOWN,Construction
Huhtamaki India,509820,HUHTAMAKI,Packaging
Hyundai Motor I,544274,HYUNDAI,Automobiles - Passenger Cars
I O C L,530965,IOC,Refineries
I R C T C,542830,IRCTC,Travel Agencies
I T D C,532189,ITDC,Hotels
ICE Make Refrig.,,ICEMAKE,Electric Equipment
ICICI Lombard,540716,ICICIGI,Finance & Investments
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments
