ticker,Industry,Market Capitalization,candle_score_rolled,candle_score
PATELENG,CONSTRUCTION,3467.85,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PAUSHAKLTD,CHEMICALS,1451.62,"[0.0, 0.0, 0.0, 0.0, 1.5, 1.0499999999999998]",1.0499999999999998
PAVNAIND,AUTO ANCILLARIES,515.22,"[-2.25, -1.4249999999999998, -1.125, -1.875, -1.4249999999999998, -0.75]",-0.75
PAYTM,MISCELLANEOUS,53014.54,"[-0.55, -0.5499999999999998, -1.5, -0.825, -3.375, -2.0]",-2.0
PCBL,CHEMICALS,15970.439999999999,"[-4.375, -3.25, -3.725, -1.9249999999999998, -1.5, -0.5]",-0.5
PCJEWELLER,DIAMOND CUTTING / JEWELLERY,8738.51,"[-1.0, -0.7, -0.5, -1.25, -0.95, -0.5]",-0.5
PDMJEPAPER-BE,PAPER,996.96,"[0.375, 0.375, 0.0, 0.0, 0.0, 0.0]",0.0
PDSL,TRADING,5839.26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PEL,FINANCE & INVESTMENTS,22164.48,"[-2.25, -1.75, -1.25, -2.625, -2.025, -1.0]",-1.0
PENIND,STEEL,2498.53,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
PENINLAND-BE,CONSTRUCTION,792.84,"[3.675, 2.175, 1.5, 0.75, 0.375, 0.0]",0.0
PERMAGN,ELECTRONICS,655.35,"[1.0499999999999998, 0.75, 0.375, 0.375, 0.0, 0.0]",0.0
PERSISTENT,COMPUTERS,72407.15,"[1.65, 0.875, 2.35, 1.1749999999999998, 2.375, 1.5499999999999998]",1.5499999999999998
PETRONET,MISCELLANEOUS,44070.0,"[-2.0, -2.8, -2.55, 0.02499999999999991, 0.04999999999999982, 0.25]",0.25
PFC,FINANCE,138934.3,"[-2.125, -3.25, -2.3, -2.375, -2.7, -1.575]",-1.575
PFIZER,PHARMACEUTICALS,18792.0,"[0.25, 0.25, 0.0, 0.0, 0.0, -1.5]",-1.5
PFOCUS,ENTERTAINMENT / ELECTRONIC MEDIA SOFTWARE,2793.78,"[0.0, 1.5, 1.0499999999999998, 2.25, 1.4249999999999998, 1.125]",1.125
PFS,FINANCE & INVESTMENTS,2091.94,"[0.375, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PGEL,ELECTRONICS,27177.02,"[-4.05, -2.5, -1.875, -3.5, -2.375, -1.25]",-1.25
PGHH,PERSONAL CARE,45509.89,"[1.0499999999999998, -0.75, 1.3250000000000002, -0.4750000000000001, -0.4249999999999998, -2.125]",-2.125
PGHL,PHARMACEUTICALS,8677.09,"[-1.0, -0.7, -0.5, -0.25, -0.25, 0.0]",0.0
PGIL,TEXTILES,5112.36,"[-1.25, -0.7, -0.5, -0.25, -0.25, 0.0]",0.0
PGINVIT,POWER GENERATION AND SUPPLY,7097.99,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PHOENIXLTD,CONSTRUCTION,54933.44,"[-0.5, -0.19999999999999996, -2.0, 1.2000000000000002, -3.25, -1.9249999999999998]",-1.9249999999999998
PICCADIL,BREWERIES & DISTILLERIES,5613.17,"[-1.0, -0.7, -0.5, -1.25, -0.95, -0.5]",-0.5
PIDILITIND,CHEMICALS,150544.74,"[-1.75, -0.04999999999999982, -0.050000000000000044, 0.125, -0.125, -0.75]",-0.75
PIFL,FINANCE & INVESTMENTS,1211.08,"[-1.125, -1.0499999999999998, -2.25, -1.4249999999999998, -1.125, -0.375]",-0.375
PIIND,PESTICIDES / AGROCHEMICALS,54537.3,"[-0.42500000000000004, -0.5499999999999998, -0.5, -0.125, 0.625, 3.2]",3.2
PILANIINVS,FINANCE & INVESTMENTS,4768.84,"[-1.0, -0.7, -0.5, -0.25, -0.25, 0.0]",0.0
PITTIENG,ENGINEERING,3951.95,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PIXTRANS,MISCELLANEOUS,2113.46,"[0.0, 0.0, 0.0, 0.0, 1.5, 1.0499999999999998]",1.0499999999999998
PLATIND,CHEMICALS,1481.08,"[-1.5, -1.0499999999999998, -0.75, -1.875, -1.4249999999999998, -0.75]",-0.75
PNB,BANKS,110918.41,"[-2.5, -1.8499999999999996, -1.625, -0.75, -2.25, -1.0499999999999998]",-1.0499999999999998
PNBGILTS,FINANCE & INVESTMENTS,1652.85,"[-0.75, -0.6749999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
PNBHOUSING,FINANCE,25516.83,"[0.22499999999999998, 0.0, 1.75, 1.1749999999999998, 3.75, 2.4749999999999996]",2.4749999999999996
PNCINFRA,CONSTRUCTION,6941.92,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PNGJL,DIAMOND CUTTING / JEWELLERY,7420.51,"[-1.0, -0.7, -0.5, -0.25, -0.25, 1.0]",1.0
POCL,MINING / MINERALS / METALS,1873.0899999999997,"[-1.5, -1.0499999999999998, -0.75, -0.375, 1.125, 1.0499999999999998]",1.0499999999999998
POEL,MINING / MINERALS / METALS,660.75,"[-1.125, -0.6749999999999998, -0.75, -0.375, 1.125, 2.55]",2.55
POKARNA,MISCELLANEOUS,2823.84,"[-1.5, -1.0499999999999998, -0.75, -0.375, -1.875, -1.0499999999999998]",-1.0499999999999998
POLICYBZR,COMPUTERS,73224.02,"[-2.75, -2.5, -1.85, 0.125, -0.050000000000000044, 1.875]",1.875
POLYCAB,CABLES,78681.73,"[0.25, 0.25, 0.0, -1.5, -1.0499999999999998, 1.75]",1.75
POLYMED,HEALTHCARE,22628.56,"[0.7999999999999998, 0.625, -1.25, -0.6749999999999998, -3.25, -2.125]",-2.125
POLYPLEX,PACKAGING,3834.7699999999995,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
POOJAENT,ENTERTAINMENT / ELECTRONIC MEDIA SOFTWARE,607.05,"[-0.375, -1.5, -1.0499999999999998, -2.25, -1.4249999999999998, -1.125]",-1.125
POONAWALLA,FINANCE & INVESTMENTS,29257.24,"[-3.9499999999999997, -1.2999999999999998, -0.8250000000000002, -3.0, -2.75, -1.575]",-1.575
POWERGRID,POWER GENERATION AND SUPPLY,286040.05,"[-1.7999999999999998, -1.45, -3.375, -1.375, -0.8, 1.375]",1.375
POWERINDIA,ELECTRIC EQUIPMENT,57051.31,"[-0.5, -0.44999999999999996, 0.75, -0.55, -0.44999999999999996, -0.25]",-0.25
POWERMECH,ENGINEERING,8628.71,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PPL,PLASTICS PRODUCTS,986.6299999999999,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
PPLPHARMA,PHARMACEUTICALS,29637.129999999997,"[-2.625, -1.6749999999999998, -1.375, -1.0, -0.375, -1.0]",-1.0
PQIF,TRADING,2032.98,"[-0.75, -0.6749999999999998, -0.375, -1.875, -1.4249999999999998, -0.75]",-0.75
PRABHA,POWER GENERATION AND SUPPLY,3116.67,"[-2.925, -1.7999999999999998, -1.125, -0.75, -1.875, -1.0499999999999998]",-1.0499999999999998
PRAJIND,ENGINEERING,9482.86,"[-1.0, -0.7, -0.5, -1.25, -0.95, -0.5]",-0.5
PRAKASH,STEEL,3056.06,"[0.375, 0.375, 0.0, -1.5, -1.0499999999999998, -0.75]",-0.75
PRAVEG,HOTELS,1491.21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PRECAM,AUTO ANCILLARIES,1569.65,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
PRECOT,TEXTILES,501.41999999999996,"[-1.5, -1.0499999999999998, -0.75, 1.125, 0.6749999999999998, 0.75]",0.75
PRECWIRE,MINING / MINERALS / METALS,2419.04,"[-1.5, -1.0499999999999998, -0.75, -0.375, -0.375, 0.0]",0.0
